Incident-Exp#,Alarm Date,Alarm Time,Location and Incident type
16-0006284-000,10/23/2016,20:52:19,"Ada DR CH/Champaign, 111 Building fire"
20-0002527-000,04/22/2020,09:20:41,Alabama AVE CH 111 Building fire
17-0004767-000,08/15/2017,05:47:36,Alagna DR CH/Champaig 111 Building fire
17-0003422-000,06/12/2017,18:36:40,W Anthony DR CH/Alexa 111 Building fire
18-0003324-000,05/20/2018,18:13:43,"W Anthony DR CH 100 Fire, Other"
16-0003826-000,07/05/2016,21:19:05,"W Anthony DR CH 113 Cooking fire, confined to co"
19-0005832-000,09/12/2019,01:44:58,"W Anthony DR CH/133 113 Cooking fire, confined to co"
20-0000251-000,01/12/2020,10:45:07,"W Anthony DR CH/2/Ch 113 Cooking fire, confined to co"
19-0002172-000,04/04/2019,17:06:01,"E Armory AVE CH/Armory 113 Cooking fire, confined to co"
16-0002450-000,04/30/2016,01:36:35,E Armory AVE CH 111 Building fire
17-0006299-000,10/18/2017,01:27:25,"E Armory AVE CH/Alpha 113 Cooking fire, confined to co"
20-0006952-000,10/27/2020,23:41:26,"E Armory AVE CH/Alpha 113 Cooking fire, confined to co"
16-0006781-000,11/12/2016,21:05:17,E Armory AVE CH/Alpha 111 Building fire
17-0002692-000,05/11/2017,17:03:36,"Balmoral DR CH/Champ 113 Cooking fire, confined to co"
18-0001759-000,03/13/2018,13:57:48,"Balmoral DR CH/Champ 113 Cooking fire, confined to co"
19-0001323-000,02/25/2019,11:55:00,Barberry CIR CH 111 Building fire
16-0001104-000,02/23/2016,07:31:06,E Beardsley AVE CH 111 Building fire
18-0006582-000,10/12/2018,22:37:21,W Beardsley AVE CH 111 Building fire
19-0000230-000,01/11/2019,06:57:18,"W Beardsley AVE CH 118 Trash or rubbish fire, conta"
19-0006253-000,09/26/2019,20:54:06,W Beardsley AVE CH 111 Building fire
17-0001627-000,03/21/2017,17:46:27,W Beardsley AVE CH 111 Building fire
18-0003072-000,05/10/2018,06:05:07,"Bel-Air CT CH 113 Cooking fire, confined to co"
18-0002858-001,05/01/2018,14:14:39,Bellepark DR CH 111 Building fire
18-0002858-000,05/01/2018,14:14:39,Bellepark DR CH 111 Building fire
18-0004830-000,08/01/2018,17:33:39,"Berniece DR /Champai 113 Cooking fire, confined to co"
20-0007390-000,11/13/2020,17:47:07,"Berniece DR CH/Champ 114 Chimney or flue fire, confin"
17-0006077-000,10/08/2017,19:06:35,"Birch ST CH/7 113 Cooking fire, confined to co"
17-0000299-000,01/13/2017,16:32:41,Blair DR CH/Champaig 111 Building fire
17-0005283-000,09/05/2017,16:58:28,Bloomington RD CH 111 Building fire
19-0000543-000,01/24/2019,15:03:29,Blue Spruce DR CH 121 Fire in mobile home used as
19-0000458-000,01/21/2019,03:06:00,E Bradley AVE CH/Mt. 111 Building fire
18-0005465-000,08/28/2018,11:17:00,"W Bradley AVE CH/Cham 100 Fire, Other"
19-0007315-000,11/07/2019,14:40:44,"W Bradley AVE CH/Cha 100 Fire, Other"
17-0005840-000,09/28/2017,23:52:07,"W Bradley AVE CH/Cha 118 Trash or rubbish fire, conta"
20-0000503-000,01/22/2020,21:24:26,W Bradley AVE CH/Wes 111 Building fire
17-0000161-000,01/08/2017,00:05:53,W Bradley AVE CH/J20 111 Building fire
18-0004071-000,06/25/2018,00:10:02,"W Bradley AVE CH/Par 113 Cooking fire, confined to co"
19-0003968-000,06/25/2019,01:45:28,"W Bradley AVE CH/Par 118 Trash or rubbish fire, conta"
18-0001518-000,03/03/2018,09:51:10,Brett DR CH 111 Building fire
20-0005397-000,08/25/2020,19:05:55,"Briar LN CH/RUBY RODR 113 Cooking fire, confined to co"
19-0001122-000,02/16/2019,11:12:59,"Briar LN CH/103 113 Cooking fire, confined to co"
18-0008107-000,12/19/2018,02:58:44,Briar LN CH/202 111 Building fire
17-0003397-000,06/11/2017,18:59:52,"Briar LN CH/Bay Harbo 113 Cooking fire, confined to co"
17-0007187-000,11/24/2017,16:49:50,"Briar LN CH/Bay Harbo 113 Cooking fire, confined to co"
19-0007489-000,11/13/2019,22:45:01,"Briar LN CH/C3 113 Cooking fire, confined to co"
20-0002839-000,05/08/2020,06:34:57,Brookhaven DR CH/Cha 111 Building fire
20-0005067-000,08/13/2020,10:51:53,Brookwood DR CH 111 Building fire
20-0004948-000,08/08/2020,19:56:42,"Brookwood DR CH 118 Trash or rubbish fire, conta"
20-0003084-000,05/20/2020,13:54:01,"Burnetta ST CH/Champ 113 Cooking fire, confined to co"
16-0000624-000,01/31/2016,10:51:32,"Butternut CT CH/Cham 113 Cooking fire, confined to co"
